"DestStart","DestEnd","Range","SourceStart"
"0","244333472","244333473","475753543"
"244333473","398871699","154538227","1204737021"
"398871700","412870133","13998434","1190738587"
"412870134","456555214","43685081","1010030551"
"456555215","490664089","34108875","2975108977"
"490664090","649223907","158559818","841327865"
"649223908","706050575","56826668","2280749089"
"706050576","708758545","2707970","720087016"
"708758546","717077166","8318621","1053715632"
"717077167","825309560","108232394","268230878"
"825309561","1031051373","205741813","1895146974"
"1031051374","1091543313","60491940","1834655034"
"1091543314","1283066427","191523114","2480502815"
"1283066428","1438604482","155538055","112692823"
"1438604483","1467050448","28445966","2100888787"
"1467050449","1489637334","22586886","2129334753"
"1489637335","1492567299","2929965","2477572850"
"1492567300","1502710167","10142868","999887683"
"1502710168","1589586669","86876502","0"
"1589586670","1660475392","70888723","3262683858"
"1660475393","1963558440","303083048","2672025929"
"1963558441","2062848711","99290271","376463272"
"2062848712","2191676161","128827450","2151921639"
"2191676162","2251004578","59328417","1359275248"
"2251004579","2417689637","166685059","3095998799"
"2417689638","2833741006","416051369","1418603665"
"2833741007","2922655818","88914812","722794986"
"2922655819","3062652911","139997093","2337575757"
"3062652912","3248785909","186132998","3333572581"
"3248785910","3335566856","86780947","3009217852"
"3335566857","3361383177","25816321","86876502"
"3361383178","3391001244","29618067","811709798"
"3391001245","3497674084","106672840","1084065747"
"3497674085","3519705578","22031494","1062034253"
"3724763033","3832608202","107845170","3918240114"
"3832608203","3838133728","5525526","4026085284"
"3838133729","3932786976","94653248","3724763033"
"3932786977","4033351235","100564259","4194403037"
"4033351236","4132175068","98823833","3819416281"
"4132175069","4294967295","162792227","4031610810"
