"DestStart","DestEnd","Range","SourceStart"
"0","44642724","44642725","2326199067"
"44642725","231813705","187170981","3145344681"
"231813706","300743456","68929751","2971817489"
"300743457","341010578","40267122","665216997"
"341010579","502613929","161603351","1968896618"
"502613930","593882555","91268626","2880548863"
"593882556","1242041398","648158843","705484119"
"1242041399","1473264653","231223255","0"
"1473264654","1631330581","158065928","231223255"
"1631330582","1813164675","181834094","389289183"
"1813164676","1999501974","186337299","1782559319"
"1999501975","2132898062","133396088","1516920860"
"2132898063","2226991782","94093720","571123277"
"2226991783","2420477850","193486068","2370841792"
"2420477851","2575348594","154870744","2725678119"
"2575348595","2771047692","195699098","2130499969"
"2771047693","2834834112","63786420","3040747240"
"2834834113","2910982663","76148551","1353642962"
"2910982664","2911470946","488283","2564327860"
"2911470947","2945529237","34058291","3332515662"
"2945529238","2998499326","52970089","1729589230"
"2998499327","3077771608","79272282","1650316948"
"3077771609","3164900955","87129347","1429791513"
"3164900956","3205711976","40811021","3104533660"
"3205711977","3292764602","87052626","3366573953"
"3292764603","3453626578","160861976","2564816143"
"3489505645","3586449754","96944110","4109952732"
"3586449755","3674520208","88070454","4206896842"
"3674520209","3733631773","59111565","3842071073"
"3733631774","3840363982","106732209","4003220523"
"3840363983","3871554697","31190715","3901182638"
"3871554698","3913829570","42274873","3932373353"
"3913829571","4266394998","352565428","3489505645"
"4266394999","4294967295","28572297","3974648226"
