"DestStart","DestEnd","Range","SourceStart"
"0","3492988","3492989","175732913"
"3492989","17372206","13879218","186743501"
"17372207","193105119","175732913","0"
"193105120","317763239","124658120","588037300"
"317763240","325280838","7517599","179225902"
"325280839","423108982","97828144","781495589"
"423108983","485661209","62552227","718943362"
"485661210","820881150","335219941","200622719"
"820881151","866470023","45588873","879323733"
"866470024","872717965","6247942","712695420"
"872717966","880849826","8131861","579905439"
"880849827","924912605","44062779","535842660"
"1113198957","1267064667","153865711","1970272141"
"1267064668","1286554780","19490113","2940723535"
"1286554781","1450966887","164412107","1394284710"
"1450966888","1588027221","137060334","2803663201"
"1588027222","1611507523","23480302","1909294051"
"1611507524","1720151792","108644269","2661100955"
"1720151793","1907590281","187438489","1558696817"
"1907590282","1911434000","3843719","3458757079"
"1911434001","1966328781","54894781","1113198957"
"1966328782","2129487526","163158745","1746135306"
"2129487527","2215874454","86386928","3462600798"
"2215874455","2378265985","162391531","2960213648"
"2378265986","2559990249","181724264","3548987726"
"2559990250","2593908226","33917977","2769745224"
"2593908227","2870430276","276522050","3122605179"
"2870430277","3384296081","513865805","2147235150"
"3384296082","3407393379","23097298","2124137852"
"3407393380","3484568570","77175191","1317109519"
"3484568571","3522066358","37497788","1932774353"
"3522066359","4086321664","564255306","3730711990"
"4086321665","4145951514","59629850","3399127229"
"4145951515","4294967295","149015781","1168093738"
