"DestStart","DestEnd","Range","SourceStart"
"63482157","123824509","60342353","3398643117"
"123824510","155461855","31637346","3053967552"
"155461856","186592247","31130392","2688731658"
"186592248","388171874","201579627","1068698177"
"388171875","428192369","40020495","2946497456"
"428192370","1212643677","784451308","1293422957"
"1212643678","1221066972","8423295","2938074161"
"1221066973","1329508119","108441147","4005538912"
"1329508120","1331703760","2195641","2383184162"
"1331703761","1354848913","23145153","1270277804"
"1354848914","1566298585","211449672","63482157"
"1566298586","1737209175","170910590","3085604898"
"1737209176","1779037690","41828515","3963710397"
"1779037691","1817647777","38610087","2719862050"
"1817647778","1929319034","111671257","957026920"
"1929319035","2055599263","126280229","442552891"
"2055599264","2083264348","27665085","3290256747"
"2083264349","2207365553","124101205","2813972956"
"2207365554","2545388004","338022451","3625687946"
"2545388005","2676242572","130854568","3458985470"
"2676242573","2688121700","11879128","568833120"
"2688121701","2690196099","2074399","580712248"
"2690196100","2770917384","80721285","3317921832"
"2770917385","2795837673","24920289","3029047263"
"2795837674","2841183919","45346246","911680674"
"2841183920","2999332984","158149065","2139212305"
"2999332985","3060671024","61338040","2077874265"
"3060671025","3174818940","114147916","714348091"
"3174818941","3228660127","53841187","2385379803"
"3228660128","3396281189","167621062","274931829"
"3396281190","3476237204","79956015","4164632221"
"3476237205","3509978463","33741259","3256515488"
"3509978464","3573844689","63866226","2319317936"
"3573844690","3624223749","50379060","4244588236"
"3624223750","3782745788","158522039","2439220990"
"3782745789","3865930455","83184667","828496007"
"3865930456","3908459767","42529312","2986517951"
"3908459768","3992475525","84015758","630332333"
"3992475526","4047976344","55500819","2758472137"
"4047976345","4098628506","50652162","4113980059"
"4098628507","4146174192","47545686","582786647"
"4146174193","4182022100","35847908","3589840038"
"4182022101","4203978666","21956566","2297361370"
"4203978667","4294967295","90988629","2597743029"
