"DestStart","DestEnd","Range","SourceStart"
"0","403686945","403686946","837436567"
"403686946","457224863","53537918","3220285075"
"457224864","498794237","41569374","3135270167"
"498794238","670748430","171954193","2963315974"
"670748431","813178252","142429822","2820886152"
"813178253","996912799","183734547","653702020"
"996912800","1324188651","327275852","2493610300"
"1324188652","1332437025","8248374","3273822993"
"1332437026","1396875914","64438889","2006681616"
"1396875915","1424526986","27651072","3333376330"
"1424526987","2190085089","765558103","1241123513"
"2190085090","2233530623","43445534","3176839541"
"2233530624","2656020418","422489795","2071120505"
"2656020419","3309722438","653702020","0"
"3309722439","3361027401","51304963","3282071367"
"3394360972","3577144667","182783696","4112183600"
"3577144668","3793587662","216442995","3394360972"
"3793587663","3804835831","11248169","4006086952"
"3804835832","3959649464","154813633","3851273319"
"3959649465","4027265653","67616189","4044567411"
"4027265654","4267735005","240469352","3610803967"
"4267735006","4294967295","27232290","4017335121"
