"DestStart","DestEnd","Range","SourceStart"
"0","86866323","86866324","1329675014"
"86866324","99573516","12707193","508210980"
"99573517","158929132","59355616","443623963"
"158929133","336816211","177887079","820738602"
"336816212","342349521","5533310","1738401718"
"342349522","468536762","126187241","694551361"
"468536763","621997272","153460510","0"
"621997273","659725307","37728035","1416541338"
"659725308","823056141","163330834","531220527"
"823056142","1057499650","234443509","1852553918"
"1057499651","1088011148","30511498","413112465"
"1088011149","1125412669","37401521","228872916"
"1125412670","1272250697","146838028","266274437"
"1272250698","1277482098","5231401","502979579"
"1277482099","1495475060","217992962","1111682052"
"1495475061","1608531431","113056371","998625681"
"1608531432","1611665061","3133630","1735268088"
"1611665062","1745884531","134219470","1454269373"
"1745884532","1892663776","146779245","1588488843"
"1892663777","2001282666","108618890","1743935028"
"2001282667","2011585020","10302354","520918173"
"2011585021","2086997426","75412406","153460510"
"2116439287","2223186840","106747554","3515160224"
"2223186841","2377955967","154769127","3648924866"
"2377955968","2408910707","30954740","3484205484"
"2408910708","2463542359","54631652","2318803280"
"2463542360","2508997405","45455046","3803693993"
"2508997406","2524006635","15009230","2137451127"
"2524006636","2673910101","149903466","2432683670"
"2673910102","2759073878","85163777","4209803519"
"2759073879","2865293348","106219470","2842283022"
"2865293349","3105794105","240500757","3217515907"
"3105794106","3153456781","47662676","2948502492"
"3153456782","3268564454","115107673","2203695607"
"3268564455","3289576294","21011840","2116439287"
"3289576295","3316593382","27017088","3621907778"
"3316593383","3367828632","51235250","2152460357"
"3367828633","3394017452","26188820","3458016664"
"3394017453","3440702430","46684978","2582587136"
"3440702431","3801356910","360654480","3849149039"
"3801356911","4022707649","221350739","2996165168"
"4022707650","4235718557","213010908","2629272114"
"4235718558","4294967295","59248738","2373434932"
